dtype,n_samples,KL
f64,1024,1.53215360148781
f64,2048,0.76200684495027
f64,4096,0.3908266781235876
f64,8192,0.17207832415015564
f64,16384,0.0934601299265671
f64,32768,0.037514589468280755
f64,65536,0.01660727702541043
f64,131072,0.008241319588857467
f64,262144,0.003612020650470947
f64,524288,0.0015008193763625848
f64,1048576,0.0006039866582633387
f64,2097152,0.0002642796786324557
f64,4194304,0.00014055309176326105
f64,8388608,6.692706622774318e-05
f32,1024,1.5993459874074518
f32,2048,0.7790957003918744
f32,4096,0.3908266781235876
f32,8192,0.16348735726728167
f32,16384,0.0934601299265671
f32,32768,0.037514589468280755
f32,65536,0.016607515878535744
f32,131072,0.007950604460846587
f32,262144,0.0036159977813309285
f32,524288,0.0015539630679592728
f32,1048576,0.0006039157949217526
f32,2097152,0.00026416583526206927
f32,4194304,0.0001407408561753098
f32,8388608,6.696342644977571e-05
f16,1024,1.7026189679751853
f16,2048,0.807619317770065
f16,4096,0.3812311072365158
f16,8192,0.15210514191010327
f16,16384,0.10409437329560686
f16,32768,0.03876250721953942
f16,65536,0.017720819017769403
f16,131072,0.00853744467857416
f16,262144,0.0036549121128511596
f16,524288,0.0015604052374231625
f16,1048576,0.0006516769964434031
f16,2097152,0.0003130022267820385
f16,4194304,0.0001556229805314442
f16,8388608,0.00010205482617315476
bf16,1024,1.6712883186934726
bf16,2048,0.8499839290985345
bf16,4096,0.41279191710080865
bf16,8192,0.1976064042399784
bf16,16384,0.08871740702809133
bf16,32768,0.04001261677955581
bf16,65536,0.01891679668720206
bf16,131072,0.00909801777654327
bf16,262144,0.004149183000943084
bf16,524288,0.0023535880431279814
bf16,1048576,0.0014340394954373136
bf16,2097152,0.001259009207054909
bf16,4194304,0.0011004803453213802
bf16,8388608,0.001049137865329426
