dtype,n_samples,KL
f64,1024,48.704101004085636
f64,2048,47.87257051433049
f64,4096,47.058598513880206
f64,8192,46.23396529577359
f64,16384,45.536256783859
f64,32768,45.01697490287849
f64,65536,44.66162241486454
f64,131072,44.4455626700969
f64,262144,44.297718713856696
f64,524288,44.215593818288276
f64,1048576,44.17001947446653
f32,1024,48.669688465960505
f32,2048,47.825441744735514
f32,4096,47.058598513880206
f32,8192,46.23396529577359
f32,16384,45.53729363070022
f32,32768,45.01697490287849
f32,65536,44.66164033621747
f32,131072,44.44551295446835
f32,262144,44.29779449113113
f32,524288,44.214388100410986
f32,1048576,44.16999786662226
f16,1024,48.473343232206986
f16,2048,47.80028354630897
f16,4096,46.99320669944596
f16,8192,46.19482091696945
f16,16384,45.51415793924694
f16,32768,45.02721504044226
f16,65536,44.66287652005012
f16,131072,44.436477276971594
f16,262144,44.29462164451313
f16,524288,44.21624127520294
f16,1048576,44.17063531362918
bf16,1024,48.84954502862827
bf16,2048,47.572541711288274
bf16,4096,46.90711274609815
bf16,8192,46.15132988125083
bf16,16384,45.502667132990766
bf16,32768,45.04955222005063
bf16,65536,44.68282661397437
bf16,131072,44.43876780760087
bf16,262144,44.295253502974305
bf16,524288,44.21307872332689
bf16,1048576,44.171570279732336
