dtype,n_samples,KL
f64,1024,15.459936586531118
f64,2048,15.550919892506489
f64,4096,15.037785263255916
f64,8192,14.673155155735696
f64,16384,14.649939656563797
f64,32768,14.483574510750772
f64,65536,14.398395961335629
f64,131072,14.421914614571037
f64,262144,14.334774933149838
f64,524288,14.33484118794436
f64,1048576,14.30779759380004
f64,2097152,14.300447264114142
f64,4194304,14.29941801223217
f64,8388608,14.29206474869041
f32,1024,15.459936586531118
f32,2048,15.550919892506489
f32,4096,15.037785263255916
f32,8192,14.673155155735696
f32,16384,14.649939656563797
f32,32768,14.483574510750772
f32,65536,14.398395961335629
f32,131072,14.422166236378516
f32,262144,14.334384043109939
f32,524288,14.335016612295886
f32,1048576,14.30779759380004
f32,2097152,14.300446813518352
f32,4194304,14.299418002741659
f32,8388608,14.292066414918057
f16,1024,15.45931962937835
f16,2048,15.55095054262913
f16,4096,15.040190808950415
f16,8192,14.66147261267033
f16,16384,14.664514163843464
f16,32768,14.48447963629009
f16,65536,14.397794662400546
f16,131072,14.425667344574844
f16,262144,14.336307362777157
f16,524288,14.337442490340488
f16,1048576,14.31184545885328
f16,2097152,14.303068505895105
f16,4194304,14.30233536351861
f16,8388608,14.294621710572159
bf16,1024,15.448130386526625
bf16,2048,15.566759439214223
bf16,4096,15.151371050276364
bf16,8192,14.690327279925341
bf16,16384,14.651425752830079
bf16,32768,14.48509773428616
bf16,65536,14.409068882995776
bf16,131072,14.433416653831795
bf16,262144,14.340575438308031
bf16,524288,14.341613590141135
bf16,1048576,14.314722569896094
bf16,2097152,14.303636922180463
bf16,4194304,14.303659954967332
bf16,8388608,14.29736521678392
