E_delta_error,E_delta_mean,E_error,E_heis_delta_error,E_heis_delta_mean,E_heis_error,E_heis_mean,E_mean,RE_e_error,RE_e_mean,RE_heis_error,RE_heis_mean,Sigmas,re_e_error,re_e_mean,re_heis_error,re_heis_mean,sigma
3.1295491329136655e-05,-26.751053952517605,3.935537537748657e-05,0.012648511295410335,-23.893957542437192,0.013367168978077482,-23.892712077695787,-26.75104841628134,4.595796235610033e-07,8.179469005901257e-07,0.00013677151140872726,0.00018944017910366173,0.001,,,,,
3.265744324995138e-05,-26.75105196187058,3.935537537748657e-05,0.012976515063175566,-23.893069073753033,0.013367168978077482,-23.892712077695787,-26.75104841628134,6.438050734588633e-07,8.255005786626279e-07,0.00012583210081820013,0.00017928555871240428,0.0011497569953977356,,,,,
3.2346685558810145e-05,-26.751053019124605,3.935537537748657e-05,0.013390989158600288,-23.89352098629966,0.013367168978077482,-23.892712077695787,-26.75104841628134,5.919600650132659e-07,9.232938196483256e-07,0.0001740176324632537,0.000263883356158214,0.0013219411484660286,,,,,
3.4585462205823537e-05,-26.751050360724967,3.935537537748657e-05,0.012100595648869818,-23.89225624884881,0.013367168978077482,-23.892712077695787,-26.75104841628134,5.598707687744821e-07,9.08668670497443e-07,0.00023390251346311968,0.00027753328394922167,0.0015199110829529332,,,,,
3.585870797648132e-05,-26.75104931582207,3.935537537748657e-05,0.014169652708131527,-23.895846671673187,0.013367168978077482,-23.892712077695787,-26.75104841628134,6.844072959708037e-07,9.540015381708785e-07,0.0002740872201266408,0.0003953783560750792,0.001747528400007683,,,,,
3.4567470634327486e-05,-26.751047651709353,3.935537537748657e-05,0.014099089132375313,-23.895229137409416,0.013367168978077482,-23.892712077695787,-26.75104841628134,6.741675767887746e-07,1.007868918159712e-06,0.0002837190778029412,0.00037918606878389367,0.002009233002565048,,,,,
3.9329835193251997e-05,-26.75104104631826,3.935537537748657e-05,0.01303545908014049,-23.893890649513537,0.013367168978077482,-23.892712077695787,-26.75104841628134,8.165622565743699e-07,1.2971163285868805e-06,0.00024993709803390146,0.00034252104357044145,0.0023101297000831605,,,,,
2.7161155880877813e-05,-26.751050899558532,3.935537537748657e-05,0.012211921643494278,-23.89416349182433,0.013367168978077482,-23.892712077695787,-26.75104841628134,6.867229882624798e-07,1.1701913400257258e-06,0.0003146684649477895,0.0004123924339370368,0.0026560877829466868,,,,,
2.578712768764433e-05,-26.75105137732743,3.935537537748657e-05,0.013735644003753506,-23.895255420817882,0.013367168978077482,-23.892712077695787,-26.75104841628134,7.438556035726244e-07,1.0228805602993274e-06,0.0002849832019611448,0.000413945915614465,0.0030538555088334154,,,,,
2.5255130592441342e-05,-26.751050393300478,3.935537537748657e-05,0.013016143001624236,-23.89525585375325,0.013367168978077482,-23.892712077695787,-26.75104841628134,9.43178327946258e-07,1.2035233359128237e-06,0.0002315509206601525,0.00040822030609154587,0.003511191734215131,,,,,
2.7856335230545003e-05,-26.75105032394949,3.935537537748657e-05,0.013210599515460365,-23.893879602318584,0.013367168978077482,-23.892712077695787,-26.75104841628134,1.0507839041373646e-06,1.3611081233146214e-06,0.00025981123936181795,0.0005068189622862925,0.004037017258596553,,,,,
2.2455552970537094e-05,-26.751045802640107,3.935537537748657e-05,0.013379357170410845,-23.89377899164774,0.013367168978077482,-23.892712077695787,-26.75104841628134,1.0137494560486135e-06,1.4387036103415017e-06,0.00041595525018393826,0.000532558413241021,0.004641588833612782,,,,,
3.128483281578634e-05,-26.751044305347808,3.935537537748657e-05,0.014525846369391528,-23.892197460246656,0.013367168978077482,-23.892712077695787,-26.75104841628134,7.495391926003282e-07,1.1006396081414945e-06,0.00046437756866836454,0.0004447646198669811,0.005336699231206312,,,,,
3.193026146570601e-05,-26.751047325264672,3.935537537748657e-05,0.014630052927896339,-23.89264858992576,0.013367168978077482,-23.892712077695787,-26.75104841628134,7.913745693886644e-07,1.060234124951418e-06,0.00038749326476866656,0.0004340455905787174,0.006135907273413175,,,,,
