sigma,re_mean,re_error,re_M_x_mean,re_M_x_error,re_M_z_mean,re_M_z_error
0.001,3.168238928559739e-07,2.5369031759250196e-07,0.0004091997913954132,0.0001523136118217332,0.5377896590030321,2.2900215765286016
0.0013219,3.925374988297196e-07,3.391943643742687e-07,0.000529254264981846,0.00016087642845614923,0.10823035164105992,0.1543267317916369
0.0015199,3.853979445780555e-07,2.9582816945763305e-07,0.0006004269276917178,0.00019854803040040542,0.4206143493256779,1.3391836891707865
0.0017475,3.9499760068241475e-07,3.574531502456166e-07,0.0006524812496150215,0.0001996310740417174,0.19707504568237702,0.4082915372394247
0.0011498,3.062291061896756e-07,2.719844565364937e-07,0.0004616526653472665,0.00015571971712482395,0.20439440865481104,0.5963531336227249
0.0020092,4.2385007294597627e-07,2.9412967142410243e-07,0.0007910081218429599,0.00022545012765871477,0.5117035841806172,2.538343917660481
0.0023101,4.96479249909709e-07,4.1286283063302023e-07,0.0008910398104096434,0.0002006359215538853,0.6670990945183537,3.5218411329182246
0.0026561,5.447861500180541e-07,5.277538712635868e-07,0.001061525591589711,0.00023679765434021395,inf,nan
0.0035112,5.977422309956748e-07,3.967043436199876e-07,0.0014060289228013311,0.0002894229900692177,inf,nan
0.0030539,5.995177125950637e-07,4.379112716052345e-07,0.001201616968010341,0.00030351770362568354,0.5100962631123508,1.5398872764038336
0.0046416,6.971248959445357e-07,6.013300943912177e-07,0.0018768410843402752,0.00035519171304206586,0.5046341315033063,1.4250374777684256
0.004037,6.07712354101008e-07,5.089035565259343e-07,0.0015073418287220954,0.00038953394933261904,0.4339064279379133,1.075695674424888
0.0053367,7.125603069471632e-07,5.06232008846751e-07,0.0020766221783411402,0.00035060806201701476,inf,nan
0.0061359,7.909245137355433e-07,6.824807623291988e-07,0.0024136493976792094,0.00046247234593416235,0.4810666183445867,0.962051590247026
0.0070548,8.876239711709428e-07,6.027427501865272e-07,0.002749173743077482,0.0005140176718714698,0.9669504770169556,5.2314518212741605
0.0081113,8.426341648417961e-07,6.553203211544973e-07,0.003132205759810495,0.0005528311061536453,0.449344538972841,0.7148154103434291
0.009326,1.0120280180362844e-06,7.891864429009012e-07,0.0036132903627424584,0.0006322328007662832,0.8097860219033309,2.8798938109323107
0.010723,1.0132591548693584e-06,7.940605945107271e-07,0.004203558042263975,0.0006054367314041094,1.2214955880923264,2.9752762181765235
0.016298,1.5330503371178648e-06,1.0694085971522201e-06,0.006454094723686085,0.0010498271239830527,0.6745044406975407,1.7021209303241507
0.012328,1.278439503245524e-06,9.041331774381707e-07,0.004856206036608193,0.0007405062345385282,1.2237423870064392,4.38568758464726
0.018738,1.4662453170260115e-06,1.1199316026289678e-06,0.007204863659764122,0.0011548868087613853,inf,nan
0.014175,1.3910376044148362e-06,1.130348086247552e-06,0.005572200183964671,0.0008833420278632314,1.366324655024918,3.43521546586763
0.021544,1.7104653599947159e-06,1.1687626252976402e-06,0.008485803538271863,0.0012958329004666386,inf,nan
0.024771,1.9085229556100433e-06,1.4459901001489978e-06,0.009926319960956163,0.0013989336030523461,2.8467867619037555,9.41143882081368
0.02848,1.9912582706067135e-06,1.327484142104265e-06,0.011242489915724962,0.001234932115653321,2.5762863049896745,10.179164347145818
0.032745,2.231170437257246e-06,1.6995960078614848e-06,0.013387863436489985,0.0018827042554926657,1.219027028495163,2.376014427513338
0.043288,2.9048549928082013e-06,1.6877847119924423e-06,0.017978391126782095,0.002365671748611213,1.2607434123696535,1.5073236256356395
0.037649,2.3891747184656944e-06,1.8541499774808717e-06,0.015606394658987489,0.0021026429694838153,1.753281245924092,4.620041534793184
0.04977,3.153317291557452e-06,1.9540649333902774e-06,0.020966418102783956,0.002536859389741096,1.485139019423291,2.1432620088355794
0.057224,2.8833078751426707e-06,2.246507434674181e-06,0.02481321557817412,0.0034543933430589958,1.8734480789732317,3.560798196165189
0.065793,3.672787308329411e-06,2.601412434175253e-06,0.027598840544708785,0.0034095203888864765,2.7492523701062765,14.010329656099444
0.086975,4.293378088540926e-06,2.7647295871799206e-06,0.038088939517990125,0.004223180149470502,1.6887513349896537,2.0928467130105144
0.075646,4.055604056389761e-06,3.041056115850733e-06,0.03260056380018025,0.003865773518375916,4.219368459187564,22.714260213078592
0.11498,5.099736282048443e-06,3.3914297959267197e-06,0.05173966374954931,0.005920285207583627,2.889177879920262,7.486279706590476
0.1,4.587222931924715e-06,3.2293539300626287e-06,0.04504018604909198,0.0052545669612526795,4.644091886108149,10.115482489035916
0.13219,5.960569442255946e-06,3.5539550980885e-06,0.06233988564035171,0.006971470157830735,4.574465256253374,16.600403723276393
0.15199,7.011614355957102e-06,4.037730132341975e-06,0.0725804175904184,0.008675585545558426,7.88504089370694,33.422528624896614
0.17475,7.940638297181095e-06,4.2635821124931846e-06,0.086310354424079,0.009862104870614388,5.499294907800617,13.961862299327299
0.20092,9.341518304501036e-06,4.653724380137705e-06,0.10093850774765288,0.009767926645946756,7.955281852248061,24.46466824311497
0.23101,1.0811173809727277e-05,4.754511214447064e-06,0.12063712672454187,0.012018322821683669,6.795517204882149,15.146424872246575
0.26561,1.2777292202093444e-05,5.49251437764836e-06,0.1448148862875056,0.014988255400597991,13.259509988268661,76.76337095673232
0.30539,1.3849982075695535e-05,5.661362946096117e-06,0.17186114405268113,0.016269666493302987,6.1857360635375676,16.584063909864042
0.35112,1.671733916785549e-05,6.069180981667826e-06,0.20701806142545096,0.019909296603599694,6.539823088046423,13.797175978374227
0.4037,1.748614394686532e-05,6.005033733027175e-06,0.24522152016117116,0.017219859093339354,3.540142568937175,5.964457199599559
0.46416,1.9645370366934034e-05,6.350847451806597e-06,0.293686157938649,0.022502715140230906,4.911622940996362,12.702939964610358
0.53367,2.2595162616355765e-05,6.560576068170684e-06,0.3417927487083617,0.027639400811904177,9.636203724544618,28.65801858874809
0.61359,2.3305591922520237e-05,7.709926313284282e-06,0.40194517671626045,0.022915221839715727,inf,nan
0.81113,2.037029618914641e-05,8.936477948239427e-06,0.5125019693037345,0.018444206588914012,17.497647883305707,37.25553562424108
0.70548,2.3881736510528306e-05,8.140348990314691e-06,0.4568997777223864,0.020339915622801987,13.49679770471932,31.265294391562918
1.0723,2.2649314878129294e-05,1.5564272365938094e-05,0.6057519588855459,0.007931049235581899,71.0291152381749,130.28866464268194
0.9326,1.830643619385646e-05,1.0041679796447323e-05,0.5598433955989962,0.007857720578491155,81.21098567826598,540.1853092922851
1.2328,2.5770746041126397e-05,2.270564288685132e-05,0.6482135105820147,0.020206490298381438,90.47332283376505,159.44823361139882
1.4175,4.916805982768287e-05,4.743948304894418e-05,0.6981053530086645,0.03228066951103562,inf,nan
1.6298,9.07987867507899e-05,8.859899817014172e-05,0.7618689508910483,0.04705602907487434,242.586968896553,1116.7120357396054
1.8738,0.0003268648101372828,0.0010677299435840042,0.8605930181362451,0.08567728671889947,512.4645738116863,2196.3104464586568
2.1544,0.0016295706585783259,0.003235319646582799,0.9822969685247354,0.1425196458904549,499.7565540834915,1209.9371995823537
2.4771,0.004251488822031195,0.004943632041757631,1.1468569300356988,0.18718238823310876,233.17048640891008,369.4288194751693
2.848,0.017630385506667894,0.011115814300770398,1.6080962202023,0.2226103538458737,255.19628523042775,433.1971060143401
3.2745,0.03564352089839042,0.017482882173360793,2.107739143334313,0.2450484120898846,407.3168094307018,928.015086266919
3.7649,0.08063206735857589,0.0262356193203609,2.780705244005413,0.2905261170521574,428.10247827671833,1073.1488335059432
4.3288,0.1236613768083215,0.02430104457557551,3.3070363859560623,0.2759621777832189,744.1431487043388,2602.478237722074
4.977,0.16732058774186956,0.024350462803201037,3.7356783476321738,0.28456827200238044,1103.2643855936337,3373.4912577782097
5.7224,0.20253239976583992,0.02399908538579241,4.027411338504789,0.282081174938101,1403.9231221077043,9468.659302348833
6.5793,0.2268388749352875,0.026833738325282637,4.265221720360546,0.27960481280086386,937.61033518362,2539.2932015524607
7.5646,0.24528205253013327,0.024140178709267456,4.430624825929541,0.2527074449686122,865.3952726635058,2677.0305852053334
10.0,0.2657980525963483,0.02041793739521592,4.614041827128,0.22456622765701292,753.0969993744801,1442.5039902225906
8.6975,0.2523557600576295,0.021891639405708978,4.496243803118479,0.25880251265864723,818.9381501362782,4043.246429142037
11.498,0.2684909896230793,0.02082204210032038,4.608699214885302,0.23983109849942105,1239.211193513304,6992.599347520236
13.219,0.2701130898626461,0.018813210768719075,4.6718044103725,0.24920291588777438,713.2668168216045,1302.8253100424633
15.199,0.27408660217576103,0.019689671330611842,4.674793287589899,0.24543365877547885,1261.673815363221,3925.9758572756245
17.475,0.2793235881032873,0.022605277290923386,4.747677268578861,0.27437872707205657,982.1134560248782,3401.6074054375968
20.092,0.27514427760824134,0.019339277454219917,4.758041510447007,0.26306662061784064,inf,nan
23.101,0.28023991216729643,0.021730482640278718,4.810861582550728,0.28192735613611297,1593.3093705394608,9593.595560512222
26.561,0.28286704868682616,0.017346925618554467,4.7833992010890904,0.2346128844024788,601.8380720540363,1343.4518072659428
30.539,0.28439990195037207,0.023913777730659936,4.8313586781724025,0.26330917528773606,2095.8171984792275,13985.349269329763
35.112,0.28125912254035285,0.02049529819246393,4.796983210492939,0.2409266940419939,1298.825564953849,4152.823110506126
40.37,0.2879450144786043,0.01876619828946996,4.8094442167184965,0.24283897481367736,874.4720060674553,2651.1141541540674
46.416,0.2873669071199394,0.02023627541823612,4.810403883164047,0.26655757802662516,644.250650329307,1176.6784856183426
53.367,0.2881843706160013,0.020513085920440648,4.831640057773213,0.24667123187514775,626.2021119501993,1232.1630239971362
70.548,0.28464832642464466,0.02335630896636187,4.809617455087834,0.23669266153969082,815.5860326751534,1600.342036408122
61.359,0.28772170929887486,0.01834617742048987,4.787170550941793,0.26489176402190806,977.0284852670057,2508.5362028616105
81.113,0.286638493501108,0.020952956892891225,4.798374674640926,0.22705682032095847,634.3618136790974,1038.5066451116857
93.26,0.2829961412333017,0.021450065599035697,4.805641624204302,0.24409649420942559,1159.3621952218164,3184.257203182142
107.23,0.29108241429899834,0.020794956579617604,4.813208918645891,0.2689634113883794,765.0514716588825,2679.9307456921265
123.28,0.28920121617130995,0.01951000651144066,4.823009920118181,0.23698574504656975,1029.735117871353,2388.1936944275894
141.75,0.2853200348656022,0.021581407320239127,4.817228705792802,0.26941115037955315,690.621003672152,1538.7079065579671
162.98,0.28822448161790915,0.021669386889183757,4.8391323166786995,0.2664641567602991,580.5577657119516,1000.7371315570208
187.38,0.2843508047183814,0.02001740185073227,4.853892085590452,0.25652201219275916,663.1958189789863,1304.8529348433203
215.44,0.28845962106062956,0.02123146843914976,4.875892092212385,0.23900014131032626,691.7384998048623,1358.6526623193495
247.71,0.28829368786502785,0.022005228712308453,4.844056040160257,0.23315955992589799,967.7991832620438,2663.0023793401933
284.8,0.2873068485461286,0.01910037262824863,4.848528036678598,0.23793043389617727,1143.4861596717458,3019.0749883017534
327.45,0.2871242347563078,0.020698597996824566,4.8013674869810705,0.25632515730835925,812.8901597207275,2229.4342511258324
376.49,0.2911184059058836,0.019291456600851995,4.812378594973319,0.21837556229320593,669.4646557979568,2402.7171597187207
432.88,0.28345715316448733,0.021402808376994924,4.822921079400993,0.23938079433827078,492.9679738044022,645.7383711381161
572.24,0.29191169021894425,0.020447352785163454,4.84339067118109,0.2470791864030575,inf,nan
497.7,0.28658550486042766,0.02176673944865008,4.8540947105477805,0.22933166127699253,661.1838945537522,1489.577002653262
657.93,0.2883341484929126,0.021380413439055508,4.846755812991412,0.2692630152107267,608.0284240296673,990.4872492928379
756.46,0.2860270783108685,0.019001125160305176,4.795802213525104,0.275336012366691,712.8788144761854,1601.6640380904128
