Sigma,N_therm,E_mean,E_error,E_heis_mean,E_heis_error
0.0,1024,-72.89165498287952,6.362012269674257e-06,-19.354327093898128,0.019322285270267803
0.0,2048,-72.89165369537608,6.35803613509604e-06,-19.35187688429466,0.019325757525844565
0.0,4096,-72.89165502680976,6.365244453036601e-06,-19.35048935057341,0.019327124801277816
0.0,8192,-72.89165608030305,6.3699402000061545e-06,-19.34409864641503,0.01931346333970239
0.0,16384,-72.89165606402553,6.361445744938344e-06,-19.3477818660187,0.019318384164782168
0.0,32768,-72.89165694067938,6.36044693956375e-06,-19.345967653083644,0.019309247079211327
0.0,65536,-72.89165522490907,6.353726163114048e-06,-19.346344615926704,0.019315595754839158
0.0,131072,-72.89166240440389,6.392953513261771e-06,-19.33128893071276,0.019327079030920784
0.0,262144,-72.89166745353575,6.35902495763316e-06,-19.327587107138022,0.019271289655465058
0.0,524288,-72.89167438255112,6.365485350286311e-06,-19.331169099424706,0.019289338869893445
0.001,1024,-72.89166193073308,6.3463115260914866e-06,-19.345925052508182,0.01928091217845719
0.001,2048,-72.89166048767254,6.343783529914266e-06,-19.344900245458554,0.01928582933450209
0.001,4096,-72.89166105714872,6.348197390066112e-06,-19.34271797771546,0.019285635547838683
0.001,8192,-72.89166336052752,6.35287036008956e-06,-19.33333558561317,0.019277215641421583
0.001,16384,-72.89165998430036,6.348335354170319e-06,-19.333020004709162,0.01929064500320383
0.001,32768,-72.89166138385133,6.3600326082731976e-06,-19.33427509645892,0.019292213069727296
0.001,65536,-72.89165847885221,6.358755079740023e-06,-19.339041063525887,0.01929554066826501
0.001,131072,-72.89165826198389,6.371122151271549e-06,-19.335140645098598,0.019295917486270155
0.001,262144,-72.89167104589322,6.3480389045700326e-06,-19.33704365354228,0.01923581273491369
0.001,524288,-72.89167299796028,6.355180408571532e-06,-19.320792461649205,0.019267270812261372
0.00206913808111479,1024,-72.89166341113676,6.348754154848842e-06,-19.356225727117717,0.01928536210652455
0.00206913808111479,2048,-72.89166188633664,6.347104293718454e-06,-19.353978350696977,0.019291380531815873
0.00206913808111479,4096,-72.89166230926611,6.3479471168919325e-06,-19.352646752424437,0.019292131705398653
