dtype,n_therm,E_mean,E_error,M_z_mean,M_z_error
f64,1024,-6.271884072110625,0.2367533687487182,-0.002197265625,0.00393463047187054
f64,2048,-6.414814876865187,0.17548824926814996,-0.00238037109375,0.0027889008169424425
f64,4096,-6.398051015670939,0.12449447605832123,-0.0063934326171875,0.0019305014705677274
f64,8192,-6.414974774247989,0.08824426234006863,-0.0052490234375,0.001374608970398056
f64,16384,-6.3824750768868945,0.06225592485591141,-0.003124237060546875,0.0009703892556634196
f64,32768,-6.370270715222649,0.04412939228324643,-0.0030603408813476562,0.0006893361803958205
f64,65536,-6.409546325286376,0.031244425474225044,-0.0021820068359375,0.00048735381603863786
f64,131072,-6.429920807478166,0.022119900853603144,-0.0019583702087402344,0.0003440220028678294
f64,262144,-6.432821838255315,0.015621530926730213,-0.0013897418975830078,0.00024366610752591433
f64,524288,-6.423823804934814,0.01103712283219915,-0.00147169828414917,0.000172360846562888
f32,1024,-6.271884072110625,0.2367533687487182,-0.002197265625,0.00393463047187054
f32,2048,-6.414813973531151,0.17548825941335167,-0.0023956298828125,0.002789186619297388
f32,4096,-6.3980505640039205,0.12449447961865909,-0.00640106201171875,0.001930600826138639
f32,8192,-6.4086695298799015,0.08825090969670783,-0.005390167236328125,0.0013761769710735029
f32,16384,-6.3769283755545265,0.06226350004802269,-0.003620147705078125,0.0009676672083531279
f32,32768,-6.362374204191676,0.04414178073335411,-0.003574371337890625,0.000689358981821113
f32,65536,-6.382889522389979,0.0312590952057057,-0.0025787353515625,0.00048785492195874055
f32,131072,-6.406316221843549,0.022130046754841686,-0.0017247200012207031,0.00034457883834655733
f32,262144,-6.408144792350123,0.015655273771369573,-0.0012944936752319336,0.0002435162239664784
f32,524288,-6.398619810650015,0.011043406287601745,-0.001437544822692871,0.0001722062314646628
f16,1024,-6.209498685747709,0.24821628563513057,0.002227783203125,0.003878950557959588
f16,2048,-6.399335333315576,0.1755759133031548,-0.0015411376953125,0.0027454805938919046
f16,4096,-6.2754573140737255,0.12577915296875375,-0.0060272216796875,0.0019490024425956917
f16,8192,-6.351995604261207,0.08893211279537651,-0.003322601318359375,0.0013793619986304348
f16,16384,-6.261410452270372,0.06294006700607803,-0.0026073455810546875,0.00097964393764412
f16,32768,-6.2797651636379435,0.04426092389525536,-0.0029764175415039062,0.0006909867244647694
f16,65536,-6.3340509887015575,0.031242532059821082,-0.002094745635986328,0.0004876667793021568
f16,131072,-6.394961388225917,0.022088698515103724,-0.0016162395477294922,0.0003443294567841955
f16,262144,-6.408644534297569,0.015616031414151708,-0.001242995262145996,0.00024344983621348514
f16,524288,-6.409223758087092,0.011040876577309712,-0.0015622377395629883,0.00017235337995160095
bf16,1024,-6.428620846220571,0.24437327992623412,0.002838134765625,0.003838494342045169
bf16,2048,-6.450528403430251,0.17522945106015467,0.0003814697265625,0.0026876569098543304
bf16,4096,-6.397793967693714,0.12540211194712636,-0.003448486328125,0.0018989396099331976
bf16,8192,-6.484349667479378,0.08802161076970076,-0.0024261474609375,0.0013557834600376624
bf16,16384,-6.462768297857209,0.06301445267185375,-0.002658843994140625,0.0009683310415784404
bf16,32768,-6.425999946726337,0.04447210429220901,-0.0026884078979492188,0.0006871502955311399
bf16,65536,-6.3749716107251295,0.031426183373192966,-0.0020456314086914062,0.00048652795514482705
bf16,131072,-6.417693777247791,0.022153817184767784,-0.0016720294952392578,0.00034396933310210543
bf16,262144,-6.410323597208584,0.01563423652732644,-0.001391291618347168,0.00024322023910517112
bf16,524288,-6.400810310848277,0.01104968406320197,-0.0016910433769226074,0.0001721157138384687
