n_chains,E_mean,E_error,tau_E,R_E,M_z_mean,M_z_error,tau_M_z,R_M_z
16,-113.38735246119651,0.0027638728903844425,0.2135722902200311,1.0001011511804792,0.0,nan,nan,nan
32,-113.38352490922972,0.002549167936088256,0.10487197654780034,1.0001893328401894,0.0,nan,nan,nan
64,-113.35536528653935,0.026687373403782712,19.54009241122557,1.0201858443863223,0.0,nan,nan,nan
128,-113.3493641634305,0.03229730039181513,25.305957642355008,1.0488792155129165,0.0,nan,nan,nan
256,-113.34911805798458,0.029811683930611732,21.01339225371866,1.0790145005897214,0.0,nan,nan,nan
512,-113.13141534311912,0.16423156777903308,95.33618888750088,1.355564971991416,0.0,nan,nan,nan
1024,-112.70287215139399,0.18116438274550004,50.660883871158745,1.3652467001017634,0.0,nan,nan,nan
2048,-112.3842411461137,0.15282808107587154,26.046401558307846,1.3738950541078465,0.0,nan,nan,nan
4096,-112.30517237894934,0.1053351608263137,12.854475821812288,1.3691844878609856,0.0,nan,nan,nan
8192,-112.00209326310248,0.08468333175451753,6.624301757306951,1.3680847159462586,0.0,nan,nan,nan
16384,-111.66011841382169,0.06596385063020777,3.2228708225711,1.3530240880906905,0.0,nan,nan,nan
