n_chains,E_mean,E_error,tau_E,R_E,M_z_mean,M_z_error,tau_M_z,R_M_z
16,-68.06585483958739,0.0002487036894860282,0.043444906129675886,1.0000539824742745,0.00030159950256347656,0.00012463011914209656,0.5241212666054325,1.00012817873658
32,-68.06575872651324,0.00028875590365764526,0.2564305887000664,1.0002736537990335,-8.106231689453125e-06,0.000116143837277719,0.39496112078127377,1.0003198285999515
64,-68.0654285591684,0.00024103322450806392,0.03346711020687987,1.0002748710057832,3.528594970703125e-05,9.811199735950867e-05,0.144935353182311,1.0005771682241753
128,-68.06559829556578,0.0002272234822197899,0.0,1.0004388930015518,-3.0279159545898438e-05,0.0001204891621794449,0.4586479243560415,1.0013681498425657
256,-68.06556458035578,0.00025393771714694565,0.08542545537605761,1.0013038974793216,-7.152557373046875e-06,0.00012687643204141956,0.5650819104347478,1.0030446438146923
512,-68.06567654608202,0.0002540354171474798,0.06192342206510981,1.0026575830892486,4.00543212890625e-05,0.00012004011431821819,0.4559586338772319,1.0052673146589786
1024,-68.066302857589,0.00024222103372924602,0.03956352377905947,1.0048595189512382,0.00024890899658203125,0.00012629921489501497,0.5563688642606157,1.0119688861266634
2048,-68.06411435844299,0.00108709253088339,4.464873675225752,1.137588444404153,2.0503997802734375e-05,0.00012102893331629345,0.4700449397146992,1.022020595780095
4096,-68.06298954711308,0.0008287185468703979,1.5000301558064475,1.10402810235561,-9.942054748535156e-05,0.00012118057817650731,0.46938483115863594,1.0420815364248102
8192,-68.06124252521394,0.001020225712697217,1.3757658827290862,1.1839916045637162,4.124641418457031e-05,0.00012011076217100015,0.4579006756443973,1.0782211926036578
16384,-68.06015806977399,0.0010836550011195515,1.3591438479415643,1.2305211697427503,-0.00013875961303710938,0.0001165570194847182,0.39601843373771084,1.130200875554678
